image_id,source,source_path,png_path,original_side,device,keywords,image_size
r000da54ft,raise_tiff,data/raise_raw/tiff/r000da54ft.TIF,/Users/suzy/Desktop/Repository/Telecom/IM06/projet/ird-main/4IM06-G3-Project22/data/raise_png/r000da54ft.png,2848,Nikon D90,nature; outdoor,L (4288 x 2848)
r001d260dt,raise_tiff,data/raise_raw/tiff/r001d260dt.TIF,/Users/suzy/Desktop/Repository/Telecom/IM06/projet/ird-main/4IM06-G3-Project22/data/raise_png/r001d260dt.png,3264,Nikon D7000,buildings; outdoor,L (4928 x 3264)
r002fc3e2t,raise_tiff,data/raise_raw/tiff/r002fc3e2t.TIF,/Users/suzy/Desktop/Repository/Telecom/IM06/projet/ird-main/4IM06-G3-Project22/data/raise_png/r002fc3e2t.png,3264,Nikon D7000,outdoor; people,L (4928 x 3264)
r00444b95t,raise_tiff,data/raise_raw/tiff/r00444b95t.TIF,/Users/suzy/Desktop/Repository/Telecom/IM06/projet/ird-main/4IM06-G3-Project22/data/raise_png/r00444b95t.png,3264,Nikon D7000,buildings; outdoor,L (4928 x 3264)
r005f3e70t,raise_tiff,data/raise_raw/tiff/r005f3e70t.TIF,/Users/suzy/Desktop/Repository/Telecom/IM06/projet/ird-main/4IM06-G3-Project22/data/raise_png/r005f3e70t.png,2848,Nikon D90,buildings; outdoor,L (4288 x 2848)
r00617aa1t,raise_tiff,data/raise_raw/tiff/r00617aa1t.TIF,/Users/suzy/Desktop/Repository/Telecom/IM06/projet/ird-main/4IM06-G3-Project22/data/raise_png/r00617aa1t.png,3264,Nikon D7000,buildings; outdoor,L (4928 x 3264)
r00679daet,raise_tiff,data/raise_raw/tiff/r00679daet.TIF,/Users/suzy/Desktop/Repository/Telecom/IM06/projet/ird-main/4IM06-G3-Project22/data/raise_png/r00679daet.png,3264,Nikon D7000,objects; outdoor,L (4928 x 3264)
r006b0e4bt,raise_tiff,data/raise_raw/tiff/r006b0e4bt.TIF,/Users/suzy/Desktop/Repository/Telecom/IM06/projet/ird-main/4IM06-G3-Project22/data/raise_png/r006b0e4bt.png,2848,Nikon D90,Indoor,L (4288 x 2848)
r006fcc20t,raise_tiff,data/raise_raw/tiff/r006fcc20t.TIF,/Users/suzy/Desktop/Repository/Telecom/IM06/projet/ird-main/4IM06-G3-Project22/data/raise_png/r006fcc20t.png,3264,Nikon D7000,landscape; outdoor,L (4928 x 3264)
r007f5116t,raise_tiff,data/raise_raw/tiff/r007f5116t.TIF,/Users/suzy/Desktop/Repository/Telecom/IM06/projet/ird-main/4IM06-G3-Project22/data/raise_png/r007f5116t.png,3264,Nikon D7000,buildings; outdoor,L (4928 x 3264)
