method,size,class,f1
Mask,32,original,0.338573
Mask,32,JPEG_Q80,0.589215
Mask,32,downsample_x8,0.331467
Mask,32,downsample_x16,0.457354
Mask,32,upsample_x4,0.922549
Mask,32,upsample_x8,0.914010
Mask,64,original,0.373719
Mask,64,JPEG_Q80,0.623618
Mask,64,downsample_x8,0.217822
Mask,64,downsample_x16,0.545089
Mask,64,upsample_x4,0.923152
Mask,64,upsample_x8,0.949136
Mask,96,original,0.382826
Mask,96,JPEG_Q80,0.638352
Mask,96,downsample_x8,0.234146
Mask,96,downsample_x16,0.563035
Mask,96,upsample_x4,0.928258
Mask,96,upsample_x8,0.959204
Mask,128,original,0.378011
Mask,128,JPEG_Q80,0.629303
Mask,128,downsample_x8,0.233894
Mask,128,downsample_x16,0.596057
Mask,128,upsample_x4,0.926051
Mask,128,upsample_x8,0.957164
CNN,32,original,0.687614
CNN,32,JPEG_Q80,0.729792
CNN,32,downsample_x8,0.433300
CNN,32,downsample_x16,0.407407
CNN,32,upsample_x4,0.963819
CNN,32,upsample_x8,0.949016
CNN,64,original,0.815455
CNN,64,JPEG_Q80,0.852729
CNN,64,downsample_x8,0.233704
CNN,64,downsample_x16,0.645187
CNN,64,upsample_x4,0.974987
CNN,64,upsample_x8,0.951336
CNN,96,original,0.818037
CNN,96,JPEG_Q80,0.842870
CNN,96,downsample_x8,0.472441
CNN,96,downsample_x16,0.587379
CNN,96,upsample_x4,0.955854
CNN,96,upsample_x8,0.969362
CNN,128,original,0.929412
CNN,128,JPEG_Q80,0.913021
CNN,128,downsample_x8,0.516763
CNN,128,downsample_x16,0.652863
CNN,128,upsample_x4,0.977238
CNN,128,upsample_x8,0.957814
