radial_freq,prof_original,prof_JPEG_Q80,prof_downsample_x8,prof_downsample_x16,prof_upsample_x4,prof_upsample_x8,cdf_original,cdf_JPEG_Q80,cdf_downsample_x8,cdf_downsample_x16,cdf_upsample_x4,cdf_upsample_x8
0.00391,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.01172,0.000693,0.000829,0.001253,0.001899,0.000652,0.000561,0.001164,0.001239,0.001069,0.001226,0.002715,0.005273
0.01953,0.003440,0.004199,0.005671,0.005344,0.003449,0.002753,0.006943,0.007519,0.005909,0.004676,0.017074,0.031165
0.02734,0.007692,0.009159,0.012024,0.011987,0.007436,0.005966,0.019863,0.021217,0.016170,0.012415,0.048030,0.087281
0.03516,0.011767,0.014479,0.017618,0.020923,0.011047,0.008380,0.039629,0.042871,0.031206,0.025923,0.094018,0.166102
0.04297,0.015690,0.018250,0.024901,0.025705,0.014565,0.009909,0.065984,0.070164,0.052458,0.042518,0.154651,0.259302
0.05078,0.019607,0.022816,0.030746,0.032066,0.017148,0.009754,0.098919,0.104287,0.078697,0.063220,0.226037,0.351050
0.05859,0.020384,0.024897,0.034221,0.033337,0.017998,0.008101,0.133159,0.141521,0.107903,0.084742,0.300960,0.427246
0.06641,0.021145,0.025788,0.035427,0.034547,0.018161,0.006709,0.168678,0.180089,0.138138,0.107045,0.376563,0.490349
0.07422,0.021246,0.026955,0.034988,0.040568,0.017216,0.005829,0.204366,0.220401,0.167999,0.133235,0.448232,0.545178
0.08203,0.020519,0.025517,0.033972,0.038757,0.015608,0.004875,0.238832,0.258563,0.196992,0.158257,0.513205,0.591035
0.08984,0.020885,0.025921,0.035431,0.040216,0.013816,0.004168,0.273915,0.297329,0.227231,0.184220,0.570719,0.630235
0.09766,0.019650,0.024390,0.034483,0.039193,0.011541,0.003009,0.306922,0.333805,0.256659,0.209523,0.618764,0.658538
0.10547,0.019807,0.023187,0.033979,0.043931,0.009718,0.002182,0.340193,0.368482,0.285659,0.237884,0.659217,0.679059
0.11328,0.018876,0.022243,0.033644,0.044248,0.008023,0.001566,0.371900,0.401747,0.314372,0.266451,0.692616,0.693787
0.12109,0.018050,0.021303,0.032091,0.044011,0.006875,0.001302,0.402220,0.433607,0.341760,0.294864,0.721234,0.706038
0.12891,0.017102,0.020442,0.031013,0.040694,0.006102,0.001257,0.430947,0.464178,0.368227,0.321136,0.746635,0.717860
0.13672,0.015863,0.019087,0.030383,0.038842,0.005122,0.001092,0.457592,0.492723,0.394157,0.346212,0.767956,0.728135
0.14453,0.015511,0.018613,0.029984,0.038968,0.004550,0.001079,0.483647,0.520560,0.419747,0.371369,0.786897,0.738284
0.15234,0.014342,0.017628,0.028989,0.038644,0.004029,0.001074,0.507738,0.546924,0.444488,0.396317,0.803670,0.748386
0.16016,0.013468,0.016630,0.027626,0.037473,0.003620,0.001035,0.530361,0.571796,0.468065,0.420509,0.818740,0.758122
0.16797,0.012586,0.015836,0.026446,0.036101,0.003179,0.000955,0.551503,0.595479,0.490635,0.443816,0.831975,0.767101
0.17578,0.012305,0.014996,0.025635,0.036571,0.002919,0.000911,0.572172,0.617907,0.512513,0.467426,0.844126,0.775672
0.18359,0.011601,0.014471,0.024728,0.035850,0.002532,0.000862,0.591659,0.639549,0.533617,0.490570,0.854665,0.783782
0.19141,0.011372,0.013749,0.024006,0.034947,0.002198,0.000815,0.610761,0.660112,0.554105,0.513131,0.863813,0.791446
0.19922,0.011126,0.013017,0.023859,0.034320,0.001897,0.000796,0.629450,0.679580,0.574467,0.535288,0.871708,0.798933
0.20703,0.010580,0.012164,0.022756,0.032914,0.001580,0.000768,0.647222,0.697771,0.593888,0.556537,0.878284,0.806158
0.21484,0.010251,0.011792,0.022357,0.030953,0.001389,0.000803,0.664442,0.715406,0.612969,0.576520,0.884066,0.813710
0.22266,0.009841,0.011243,0.021526,0.031897,0.001227,0.000798,0.680973,0.732221,0.631340,0.597113,0.889175,0.821216
0.23047,0.009458,0.010576,0.020732,0.029572,0.001082,0.000755,0.696860,0.748038,0.649033,0.616204,0.893680,0.828317
0.23828,0.009133,0.010184,0.019951,0.028940,0.001029,0.000728,0.712201,0.763268,0.666060,0.634887,0.897964,0.835167
0.24609,0.008740,0.009673,0.019169,0.028099,0.000951,0.000674,0.726883,0.777735,0.682419,0.653028,0.901920,0.841508
0.25391,0.008520,0.009315,0.019156,0.026293,0.000958,0.000712,0.741194,0.791665,0.698767,0.670003,0.905909,0.848205
0.26172,0.008204,0.008651,0.018080,0.026092,0.000882,0.000660,0.754975,0.804604,0.714197,0.686847,0.909579,0.854413
0.26953,0.007872,0.008195,0.017049,0.025099,0.000848,0.000643,0.768198,0.816859,0.728748,0.703051,0.913108,0.860457
0.27734,0.007709,0.007844,0.016682,0.024169,0.000857,0.000666,0.781147,0.828590,0.742985,0.718654,0.916674,0.866718
0.28516,0.007311,0.007359,0.015845,0.023271,0.000831,0.000623,0.793428,0.839595,0.756508,0.733677,0.920134,0.872580
0.29297,0.007244,0.007058,0.015713,0.023421,0.000851,0.000613,0.805597,0.850151,0.769919,0.748798,0.923678,0.878344
0.30078,0.006810,0.006459,0.014820,0.022364,0.000809,0.000568,0.817035,0.859812,0.782566,0.763236,0.927048,0.883683
0.30859,0.006642,0.006119,0.014407,0.021069,0.000828,0.000568,0.828192,0.868963,0.794862,0.776838,0.930495,0.889030
0.31641,0.006489,0.005861,0.014185,0.020858,0.000834,0.000580,0.839091,0.877729,0.806968,0.790304,0.933967,0.894485
0.32422,0.006109,0.005407,0.013684,0.020268,0.000782,0.000557,0.849353,0.885816,0.818647,0.803388,0.937223,0.899725
0.33203,0.005954,0.005075,0.013044,0.019132,0.000768,0.000559,0.859354,0.893405,0.829779,0.815740,0.940418,0.904981
0.33984,0.005661,0.004790,0.012843,0.018578,0.000733,0.000535,0.868863,0.900569,0.840740,0.827733,0.943468,0.910014
0.34766,0.005507,0.004599,0.012494,0.017763,0.000734,0.000552,0.878114,0.907447,0.851403,0.839201,0.946524,0.915205
0.35547,0.005239,0.004374,0.012153,0.017143,0.000717,0.000547,0.886914,0.913988,0.861775,0.850268,0.949508,0.920353
