method,size,true_class,pred_class,count
Mask,32,original,original,280
Mask,32,original,JPEG_Q80,407
Mask,32,original,downsample_x8,81
Mask,32,original,downsample_x16,211
Mask,32,original,upsample_x4,18
Mask,32,original,upsample_x8,3
Mask,32,JPEG_Q80,original,113
Mask,32,JPEG_Q80,JPEG_Q80,672
Mask,32,JPEG_Q80,downsample_x8,44
Mask,32,JPEG_Q80,downsample_x16,69
Mask,32,JPEG_Q80,upsample_x4,35
Mask,32,JPEG_Q80,upsample_x8,67
Mask,32,downsample_x8,original,144
Mask,32,downsample_x8,JPEG_Q80,120
Mask,32,downsample_x8,downsample_x8,296
Mask,32,downsample_x8,downsample_x16,391
Mask,32,downsample_x8,upsample_x4,25
Mask,32,downsample_x8,upsample_x8,24
Mask,32,downsample_x16,original,117
Mask,32,downsample_x16,JPEG_Q80,78
Mask,32,downsample_x16,downsample_x8,279
Mask,32,downsample_x16,downsample_x16,496
Mask,32,downsample_x16,upsample_x4,19
Mask,32,downsample_x16,upsample_x8,11
Mask,32,upsample_x4,original,0
Mask,32,upsample_x4,JPEG_Q80,4
Mask,32,upsample_x4,downsample_x8,35
Mask,32,upsample_x4,downsample_x16,1
Mask,32,upsample_x4,upsample_x4,941
Mask,32,upsample_x4,upsample_x8,19
Mask,32,upsample_x8,original,0
Mask,32,upsample_x8,JPEG_Q80,0
Mask,32,upsample_x8,downsample_x8,51
Mask,32,upsample_x8,downsample_x16,1
Mask,32,upsample_x8,upsample_x4,2
Mask,32,upsample_x8,upsample_x8,946
Mask,64,original,original,310
Mask,64,original,JPEG_Q80,413
Mask,64,original,downsample_x8,70
Mask,64,original,downsample_x16,172
Mask,64,original,upsample_x4,30
Mask,64,original,upsample_x8,5
Mask,64,JPEG_Q80,original,95
Mask,64,JPEG_Q80,JPEG_Q80,705
Mask,64,JPEG_Q80,downsample_x8,62
Mask,64,JPEG_Q80,downsample_x16,68
Mask,64,JPEG_Q80,upsample_x4,28
Mask,64,JPEG_Q80,upsample_x8,42
Mask,64,downsample_x8,original,146
Mask,64,downsample_x8,JPEG_Q80,81
Mask,64,downsample_x8,downsample_x8,165
Mask,64,downsample_x8,downsample_x16,567
Mask,64,downsample_x8,upsample_x4,38
Mask,64,downsample_x8,upsample_x8,3
Mask,64,downsample_x16,original,108
Mask,64,downsample_x16,JPEG_Q80,51
Mask,64,downsample_x16,downsample_x8,150
Mask,64,downsample_x16,downsample_x16,677
Mask,64,downsample_x16,upsample_x4,10
Mask,64,downsample_x16,upsample_x8,4
Mask,64,upsample_x4,original,0
Mask,64,upsample_x4,JPEG_Q80,11
Mask,64,upsample_x4,downsample_x8,30
Mask,64,upsample_x4,downsample_x16,0
Mask,64,upsample_x4,upsample_x4,949
Mask,64,upsample_x4,upsample_x8,10
Mask,64,upsample_x8,original,0
Mask,64,upsample_x8,JPEG_Q80,0
Mask,64,upsample_x8,downsample_x8,38
Mask,64,upsample_x8,downsample_x16,0
Mask,64,upsample_x8,upsample_x4,1
Mask,64,upsample_x8,upsample_x8,961
Mask,96,original,original,321
Mask,96,original,JPEG_Q80,452
Mask,96,original,downsample_x8,46
Mask,96,original,downsample_x16,142
Mask,96,original,upsample_x4,35
Mask,96,original,upsample_x8,4
Mask,96,JPEG_Q80,original,95
Mask,96,JPEG_Q80,JPEG_Q80,759
Mask,96,JPEG_Q80,downsample_x8,30
Mask,96,JPEG_Q80,downsample_x16,72
Mask,96,JPEG_Q80,upsample_x4,24
Mask,96,JPEG_Q80,upsample_x8,20
Mask,96,downsample_x8,original,143
Mask,96,downsample_x8,JPEG_Q80,101
Mask,96,downsample_x8,downsample_x8,168
Mask,96,downsample_x8,downsample_x16,547
Mask,96,downsample_x8,upsample_x4,34
Mask,96,downsample_x8,upsample_x8,7
Mask,96,downsample_x16,original,118
Mask,96,downsample_x16,JPEG_Q80,58
Mask,96,downsample_x16,downsample_x8,129
Mask,96,downsample_x16,downsample_x16,690
Mask,96,downsample_x16,upsample_x4,4
Mask,96,downsample_x16,upsample_x8,1
Mask,96,upsample_x4,original,0
Mask,96,upsample_x4,JPEG_Q80,8
Mask,96,upsample_x4,downsample_x8,27
Mask,96,upsample_x4,downsample_x16,0
Mask,96,upsample_x4,upsample_x4,951
Mask,96,upsample_x4,upsample_x8,14
Mask,96,upsample_x8,original,0
Mask,96,upsample_x8,JPEG_Q80,0
Mask,96,upsample_x8,downsample_x8,35
Mask,96,upsample_x8,downsample_x16,0
Mask,96,upsample_x8,upsample_x4,1
Mask,96,upsample_x8,upsample_x8,964
Mask,128,original,original,306
Mask,128,original,JPEG_Q80,440
Mask,128,original,downsample_x8,47
Mask,128,original,downsample_x16,151
Mask,128,original,upsample_x4,46
Mask,128,original,upsample_x8,10
Mask,128,JPEG_Q80,original,85
Mask,128,JPEG_Q80,JPEG_Q80,713
Mask,128,JPEG_Q80,downsample_x8,45
Mask,128,JPEG_Q80,downsample_x16,87
Mask,128,JPEG_Q80,upsample_x4,35
Mask,128,JPEG_Q80,upsample_x8,35
Mask,128,downsample_x8,original,137
Mask,128,downsample_x8,JPEG_Q80,87
Mask,128,downsample_x8,downsample_x8,167
Mask,128,downsample_x8,downsample_x16,578
Mask,128,downsample_x8,upsample_x4,24
Mask,128,downsample_x8,upsample_x8,7
Mask,128,downsample_x16,original,91
Mask,128,downsample_x16,JPEG_Q80,23
Mask,128,downsample_x16,downsample_x8,112
Mask,128,downsample_x16,downsample_x16,771
Mask,128,downsample_x16,upsample_x4,3
Mask,128,downsample_x16,upsample_x8,0
Mask,128,upsample_x4,original,0
Mask,128,upsample_x4,JPEG_Q80,3
Mask,128,upsample_x4,downsample_x8,32
Mask,128,upsample_x4,downsample_x16,0
Mask,128,upsample_x4,upsample_x4,958
Mask,128,upsample_x4,upsample_x8,7
Mask,128,upsample_x8,original,0
Mask,128,upsample_x8,JPEG_Q80,0
Mask,128,upsample_x8,downsample_x8,25
Mask,128,upsample_x8,downsample_x16,0
Mask,128,upsample_x8,upsample_x4,3
Mask,128,upsample_x8,upsample_x8,972
CNN,32,original,original,755
CNN,32,original,JPEG_Q80,176
CNN,32,original,downsample_x8,49
CNN,32,original,downsample_x16,16
CNN,32,original,upsample_x4,4
CNN,32,original,upsample_x8,0
CNN,32,JPEG_Q80,original,125
CNN,32,JPEG_Q80,JPEG_Q80,790
CNN,32,JPEG_Q80,downsample_x8,25
CNN,32,JPEG_Q80,downsample_x16,11
CNN,32,JPEG_Q80,upsample_x4,15
CNN,32,JPEG_Q80,upsample_x8,34
CNN,32,downsample_x8,original,137
CNN,32,downsample_x8,JPEG_Q80,116
CNN,32,downsample_x8,downsample_x8,432
CNN,32,downsample_x8,downsample_x16,305
CNN,32,downsample_x8,upsample_x4,6
CNN,32,downsample_x8,upsample_x8,4
CNN,32,downsample_x16,original,93
CNN,32,downsample_x16,JPEG_Q80,74
CNN,32,downsample_x16,downsample_x8,488
CNN,32,downsample_x16,downsample_x16,341
CNN,32,downsample_x16,upsample_x4,4
CNN,32,downsample_x16,upsample_x8,0
CNN,32,upsample_x4,original,35
CNN,32,upsample_x4,JPEG_Q80,3
CNN,32,upsample_x4,downsample_x8,0
CNN,32,upsample_x4,downsample_x16,0
CNN,32,upsample_x4,upsample_x4,959
CNN,32,upsample_x4,upsample_x8,3
CNN,32,upsample_x8,original,51
CNN,32,upsample_x8,JPEG_Q80,6
CNN,32,upsample_x8,downsample_x8,0
CNN,32,upsample_x8,downsample_x16,1
CNN,32,upsample_x8,upsample_x4,2
CNN,32,upsample_x8,upsample_x8,940
CNN,64,original,original,897
CNN,64,original,JPEG_Q80,57
CNN,64,original,downsample_x8,7
CNN,64,original,downsample_x16,16
CNN,64,original,upsample_x4,1
CNN,64,original,upsample_x8,22
CNN,64,JPEG_Q80,original,109
CNN,64,JPEG_Q80,JPEG_Q80,828
CNN,64,JPEG_Q80,downsample_x8,7
CNN,64,JPEG_Q80,downsample_x16,10
CNN,64,JPEG_Q80,upsample_x4,0
CNN,64,JPEG_Q80,upsample_x8,46
CNN,64,downsample_x8,original,125
CNN,64,downsample_x8,JPEG_Q80,28
CNN,64,downsample_x8,downsample_x8,147
CNN,64,downsample_x8,downsample_x16,698
CNN,64,downsample_x8,upsample_x4,1
CNN,64,downsample_x8,upsample_x8,1
CNN,64,downsample_x16,original,68
CNN,64,downsample_x16,JPEG_Q80,13
CNN,64,downsample_x16,downsample_x8,97
CNN,64,downsample_x16,downsample_x16,821
CNN,64,downsample_x16,upsample_x4,0
CNN,64,downsample_x16,upsample_x8,1
CNN,64,upsample_x4,original,1
CNN,64,upsample_x4,JPEG_Q80,15
CNN,64,upsample_x4,downsample_x8,0
CNN,64,upsample_x4,downsample_x16,0
CNN,64,upsample_x4,upsample_x4,955
CNN,64,upsample_x4,upsample_x8,29
CNN,64,upsample_x8,original,0
CNN,64,upsample_x8,JPEG_Q80,1
CNN,64,upsample_x8,downsample_x8,0
CNN,64,upsample_x8,downsample_x16,0
CNN,64,upsample_x8,upsample_x4,2
CNN,64,upsample_x8,upsample_x8,997
CNN,96,original,original,771
CNN,96,original,JPEG_Q80,194
CNN,96,original,downsample_x8,10
CNN,96,original,downsample_x16,3
CNN,96,original,upsample_x4,20
CNN,96,original,upsample_x8,2
CNN,96,JPEG_Q80,original,37
CNN,96,JPEG_Q80,JPEG_Q80,928
CNN,96,JPEG_Q80,downsample_x8,6
CNN,96,JPEG_Q80,downsample_x16,1
CNN,96,JPEG_Q80,upsample_x4,20
CNN,96,JPEG_Q80,upsample_x8,8
CNN,96,downsample_x8,original,58
CNN,96,downsample_x8,JPEG_Q80,51
CNN,96,downsample_x8,downsample_x8,420
CNN,96,downsample_x8,downsample_x16,451
CNN,96,downsample_x8,upsample_x4,10
CNN,96,downsample_x8,upsample_x8,10
CNN,96,downsample_x16,original,19
CNN,96,downsample_x16,JPEG_Q80,29
CNN,96,downsample_x16,downsample_x8,342
CNN,96,downsample_x16,downsample_x16,605
CNN,96,downsample_x16,upsample_x4,3
CNN,96,downsample_x16,upsample_x8,2
CNN,96,upsample_x4,original,0
CNN,96,upsample_x4,JPEG_Q80,0
CNN,96,upsample_x4,downsample_x8,0
CNN,96,upsample_x4,downsample_x16,0
CNN,96,upsample_x4,upsample_x4,996
CNN,96,upsample_x4,upsample_x8,4
CNN,96,upsample_x8,original,0
CNN,96,upsample_x8,JPEG_Q80,0
CNN,96,upsample_x8,downsample_x8,0
CNN,96,upsample_x8,downsample_x16,0
CNN,96,upsample_x8,upsample_x4,35
CNN,96,upsample_x8,upsample_x8,965
CNN,128,original,original,948
CNN,128,original,JPEG_Q80,22
CNN,128,original,downsample_x8,12
CNN,128,original,downsample_x16,3
CNN,128,original,upsample_x4,2
CNN,128,original,upsample_x8,13
